,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Season Totals,,,,,,,,,,,,,,,,,,,,,,,,,,Per Game Stats,,,,,,,,,,,,,,,,,,,,,,,
Team,Gamertag,Event,GP,PTS,AST,TO,AST/TO,STL,BLK,REB,OREB,DREB,FGA,FGM,FG%,eFG%,2FGA,2FGM,2FG%,3FGA,3FGM,3FG%,FTA,FTM,FT%,PF TKN,PF,,PPG,APG,TO PG,AST/TO,STL PG,BLK PG,RPG,OREB PG,DREB PG,FGA PG,FGM PG,FG%,eFG%,2FGA PG,2FGM PG,2FG%,3FGA PG,3FGM PG,3FG%,FTA PG,FTM PG,FT%,PF TKN PG,PF PG
Raptors Uprising GC,KingQuai614,Playoffs,1 ,22 ,– ,1 ,– ,1 ,2 ,10 ,4 ,6 ,18 ,10 ,56% ,56% ,18 ,10 ,56% ,– ,– ,-,2 ,2 ,100% ,1 ,3 ,,22.0 ,– ,1.0 ,– ,1.0 ,2.0 ,10.0 ,4.0 ,6.0 ,18.0 ,10.0 ,56% ,56% ,18.0 ,10.0 ,56% ,– ,– ,-,2.0 ,2.0 ,100% ,1.0 ,3.0 
Blazers Gaming,Lavish_Phenom,Playoffs,1 ,8 ,1 ,– ,– ,1 ,– ,1 ,1 ,– ,5 ,4 ,80% ,80% ,4 ,4 ,100% ,1 ,– ,– ,– ,– ,-,– ,2 ,,8.0 ,1.0 ,– ,– ,1.0 ,– ,1.0 ,1.0 ,– ,5.0 ,4.0 ,80% ,80% ,4.0 ,4.0 ,100% ,1.0 ,– ,– ,– ,– ,-,– ,2.0 
Pistons GT,LetsGetItRamo,Playoffs,1 ,29 ,2 ,2 ,1.0 ,– ,1 ,11 ,6 ,5 ,15 ,14 ,93% ,93% ,15 ,14 ,93% ,– ,– ,-,2 ,1 ,50% ,2 ,2 ,,29.0 ,2.0 ,2.0 ,1.0 ,– ,1.0 ,11.0 ,6.0 ,5.0 ,15.0 ,14.0 ,93% ,93% ,15.0 ,14.0 ,93% ,– ,– ,-,2.0 ,1.0 ,50% ,2.0 ,2.0 
Heatcheck Gaming,Majes7ic,Playoffs,3 ,17 ,1 ,2 ,0.5 ,3 ,8 ,11 ,– ,11 ,7 ,6 ,86% ,114% ,2 ,2 ,100% ,5 ,4 ,80% ,2 ,1 ,50% ,1 ,6 ,,5.7 ,0.3 ,0.7 ,0.5 ,1.0 ,2.7 ,3.7 ,– ,3.7 ,2.3 ,2.0 ,86% ,114% ,0.7 ,0.7 ,100% ,1.7 ,1.3 ,80% ,0.7 ,0.3 ,50% ,0.3 ,2.0 
Blazers Gaming,MamaImDatMan,Playoffs,1 ,20 ,16 ,2 ,8.0 ,4 ,– ,1 ,– ,1 ,21 ,9 ,43% ,48% ,11 ,7 ,64% ,10 ,2 ,20% ,– ,– ,-,1 ,5 ,,20.0 ,16.0 ,2.0 ,8.0 ,4.0 ,– ,1.0 ,– ,1.0 ,21.0 ,9.0 ,43% ,48% ,11.0 ,7.0 ,64% ,10.0 ,2.0 ,20% ,– ,– ,-,1.0 ,5.0 
Knicks Gaming,Natekahl,Playoffs,4 ,26 ,5 ,2 ,2.5 ,1 ,4 ,12 ,1 ,11 ,16 ,11 ,69% ,78% ,11 ,8 ,73% ,5 ,3 ,60% ,2 ,1 ,50% ,4 ,6 ,,6.5 ,1.3 ,0.5 ,2.5 ,0.3 ,1.0 ,3.0 ,0.3 ,2.8 ,4.0 ,2.8 ,69% ,78% ,2.8 ,2.0 ,73% ,1.3 ,0.8 ,60% ,0.5 ,0.3 ,50% ,1.0 ,1.5 
76ers GC,Newdini33,Playoffs,3 ,13 ,2 ,– ,– ,2 ,– ,2 ,– ,2 ,15 ,5 ,33% ,43% ,2 ,2 ,100% ,13 ,3 ,23% ,– ,– ,-,– ,5 ,,4.3 ,0.7 ,– ,– ,0.7 ,– ,0.7 ,– ,0.7 ,5.0 ,1.7 ,33% ,43% ,0.7 ,0.7 ,100% ,4.3 ,1.0 ,23% ,– ,– ,-,– ,1.7 
Blazers Gaming,OneWildWalnut,Playoffs,1 ,26 ,– ,3 ,– ,1 ,1 ,10 ,7 ,3 ,16 ,12 ,75% ,75% ,16 ,12 ,75% ,– ,– ,-,4 ,2 ,50% ,2 ,5 ,,26.0 ,– ,3.0 ,– ,1.0 ,1.0 ,10.0 ,7.0 ,3.0 ,16.0 ,12.0 ,75% ,75% ,16.0 ,12.0 ,75% ,– ,– ,-,4.0 ,2.0 ,50% ,2.0 ,5.0 
76ers GC,Radiant,Playoffs,3 ,38 ,46 ,8 ,5.8 ,– ,2 ,– ,– ,– ,29 ,16 ,55% ,62% ,21 ,12 ,57% ,8 ,4 ,50% ,2 ,2 ,100% ,9 ,6 ,,12.7 ,15.3 ,2.7 ,5.8 ,– ,0.7 ,– ,– ,– ,9.7 ,5.3 ,55% ,62% ,7.0 ,4.0 ,57% ,2.7 ,1.3 ,50% ,0.7 ,0.7 ,100% ,3.0 ,2.0 
Wizards District Gaming,ReeseDaGod23,Playoffs,1 ,2 ,1 ,1 ,1.0 ,– ,– ,1 ,– ,1 ,3 ,1 ,33% ,33% ,2 ,1 ,50% ,1 ,– ,– ,– ,– ,-,– ,– ,,2.0 ,1.0 ,1.0 ,1.0 ,– ,– ,1.0 ,– ,1.0 ,3.0 ,1.0 ,33% ,33% ,2.0 ,1.0 ,50% ,1.0 ,– ,– ,– ,– ,-,– ,– 
Pistons GT,Rux,Playoffs,1 ,6 ,2 ,– ,– ,– ,– ,– ,– ,– ,5 ,3 ,60% ,60% ,3 ,3 ,100% ,2 ,– ,– ,– ,– ,-,1 ,2 ,,6.0 ,2.0 ,– ,– ,– ,– ,– ,– ,– ,5.0 ,3.0 ,60% ,60% ,3.0 ,3.0 ,100% ,2.0 ,– ,– ,– ,– ,-,1.0 ,2.0 
