,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Season Totals,,,,,,,,,,,,,,,,,,,,,,,,,,Per Game Stats,,,,,,,,,,,,,,,,,,,,,,,
Team,Gamertag,Event,GP,PTS,AST,TO,AST/TO,STL,BLK,REB,OREB,DREB,FGA,FGM,FG%,eFG%,2FGA,2FGM,2FG%,3FGA,3FGM,3FG%,FTA,FTM,FT%,PF TKN,PF,,PPG,APG,TO PG,AST/TO,STL PG,BLK PG,RPG,OREB PG,DREB PG,FGA PG,FGM PG,FG%,eFG%,2FGA PG,2FGM PG,2FG%,3FGA PG,3FGM PG,3FG%,FTA PG,FTM PG,FT%,PF TKN PG,PF PG
Jazz Gaming,Deedz,Mid-Season Tournament 1,1 ,3 ,2 ,5 ,0.4 ,– ,4 ,10 ,– ,10 ,5 ,1 ,20% ,30% ,2 ,– ,– ,3 ,1 ,33% ,– ,– ,-,1 ,2 ,,3.0 ,2.0 ,5.0 ,0.4 ,– ,4.0 ,10.0 ,– ,10.0 ,5.0 ,1.0 ,20% ,30% ,2.0 ,– ,– ,3.0 ,1.0 ,33% ,– ,– ,-,1.0 ,2.0 
Wizards District Gaming,DemonJT,Mid-Season Tournament 2,2 ,15 ,6 ,3 ,2.0 ,2 ,– ,1 ,– ,1 ,12 ,6 ,50% ,63% ,5 ,3 ,60% ,7 ,3 ,43% ,– ,– ,-,1 ,4 ,,7.5 ,3.0 ,1.5 ,2.0 ,1.0 ,– ,0.5 ,– ,0.5 ,6.0 ,3.0 ,50% ,63% ,2.5 ,1.5 ,60% ,3.5 ,1.5 ,43% ,– ,– ,-,0.5 ,2.0 
Wizards District Gaming,DemonJT,Mid-Season Tournament 1,2 ,25 ,10 ,7 ,1.4 ,1 ,– ,1 ,– ,1 ,20 ,9 ,45% ,50% ,11 ,7 ,64% ,9 ,2 ,22% ,5 ,5 ,100% ,6 ,1 ,,12.5 ,5.0 ,3.5 ,1.4 ,0.5 ,– ,0.5 ,– ,0.5 ,10.0 ,4.5 ,45% ,50% ,5.5 ,3.5 ,64% ,4.5 ,1.0 ,22% ,2.5 ,2.5 ,100% ,3.0 ,0.5 
Raptors Uprising GC,Detoxys,Mid-Season Tournament 2,1 ,6 ,2 ,1 ,2.0 ,2 ,– ,5 ,2 ,3 ,7 ,3 ,43% ,43% ,5 ,3 ,60% ,2 ,– ,– ,– ,– ,-,– ,1 ,,6.0 ,2.0 ,1.0 ,2.0 ,2.0 ,– ,5.0 ,2.0 ,3.0 ,7.0 ,3.0 ,43% ,43% ,5.0 ,3.0 ,60% ,2.0 ,– ,– ,– ,– ,-,– ,1.0 
Raptors Uprising GC,Detoxys,Mid-Season Tournament 1,2 ,22 ,5 ,2 ,2.5 ,2 ,1 ,8 ,– ,8 ,11 ,8 ,73% ,91% ,6 ,4 ,67% ,5 ,4 ,80% ,2 ,2 ,100% ,1 ,4 ,,11.0 ,2.5 ,1.0 ,2.5 ,1.0 ,0.5 ,4.0 ,– ,4.0 ,5.5 ,4.0 ,73% ,91% ,3.0 ,2.0 ,67% ,2.5 ,2.0 ,80% ,1.0 ,1.0 ,100% ,0.5 ,2.0 
Mavs Gaming,Devillon,Mid-Season Tournament 2,2 ,10 ,– ,– ,– ,– ,– ,2 ,2 ,– ,8 ,4 ,50% ,63% ,4 ,2 ,50% ,4 ,2 ,50% ,– ,– ,-,– ,– ,,5.0 ,– ,– ,– ,– ,– ,1.0 ,1.0 ,– ,4.0 ,2.0 ,50% ,63% ,2.0 ,1.0 ,50% ,2.0 ,1.0 ,50% ,– ,– ,-,– ,– 
Mavs Gaming,Devillon,Mid-Season Tournament 1,2 ,12 ,– ,– ,– ,– ,– ,1 ,1 ,– ,11 ,5 ,45% ,55% ,6 ,3 ,50% ,5 ,2 ,40% ,– ,– ,-,– ,– ,,6.0 ,– ,– ,– ,– ,– ,0.5 ,0.5 ,– ,5.5 ,2.5 ,45% ,55% ,3.0 ,1.5 ,50% ,2.5 ,1.0 ,40% ,– ,– ,-,– ,– 
Mavs Gaming,Dimez,Mid-Season Tournament 2,2 ,77 ,11 ,11 ,1.0 ,4 ,2 ,13 ,5 ,8 ,53 ,35 ,66% ,66% ,53 ,35 ,66% ,– ,– ,-,10 ,7 ,70% ,13 ,5 ,,38.5 ,5.5 ,5.5 ,1.0 ,2.0 ,1.0 ,6.5 ,2.5 ,4.0 ,26.5 ,17.5 ,66% ,66% ,26.5 ,17.5 ,66% ,– ,– ,-,5.0 ,3.5 ,70% ,6.5 ,2.5 
Mavs Gaming,Dimez,Mid-Season Tournament 1,2 ,41 ,23 ,7 ,3.3 ,5 ,– ,– ,– ,– ,31 ,20 ,65% ,65% ,29 ,20 ,69% ,2 ,– ,– ,2 ,1 ,50% ,11 ,5 ,,20.5 ,11.5 ,3.5 ,3.3 ,2.5 ,– ,– ,– ,– ,15.5 ,10.0 ,65% ,65% ,14.5 ,10.0 ,69% ,1.0 ,– ,– ,1.0 ,0.5 ,50% ,5.5 ,2.5 
Pacers Gaming,FrostyTheTruth,Mid-Season Tournament 2,1 ,17 ,2 ,– ,– ,– ,– ,10 ,1 ,9 ,13 ,7 ,54% ,54% ,13 ,7 ,54% ,– ,– ,-,4 ,3 ,75% ,3 ,1 ,,17.0 ,2.0 ,– ,– ,– ,– ,10.0 ,1.0 ,9.0 ,13.0 ,7.0 ,54% ,54% ,13.0 ,7.0 ,54% ,– ,– ,-,4.0 ,3.0 ,75% ,3.0 ,1.0 
Pacers Gaming,FrostyTheTruth,Mid-Season Tournament 1,1 ,22 ,5 ,3 ,1.7 ,– ,– ,8 ,5 ,3 ,16 ,10 ,63% ,63% ,16 ,10 ,63% ,– ,– ,-,2 ,2 ,100% ,1 ,2 ,,22.0 ,5.0 ,3.0 ,1.7 ,– ,– ,8.0 ,5.0 ,3.0 ,16.0 ,10.0 ,63% ,63% ,16.0 ,10.0 ,63% ,– ,– ,-,2.0 ,2.0 ,100% ,1.0 ,2.0 
Bucks Gaming,Game6Drake,Mid-Season Tournament 2,2 ,50 ,10 ,7 ,1.4 ,2 ,– ,9 ,2 ,7 ,46 ,25 ,54% ,54% ,46 ,25 ,54% ,– ,– ,-,2 ,– ,– ,6 ,9 ,,25.0 ,5.0 ,3.5 ,1.4 ,1.0 ,– ,4.5 ,1.0 ,3.5 ,23.0 ,12.5 ,54% ,54% ,23.0 ,12.5 ,54% ,– ,– ,-,1.0 ,– ,– ,3.0 ,4.5 
Bucks Gaming,Game6Drake,Mid-Season Tournament 1,1 ,18 ,3 ,2 ,1.5 ,1 ,– ,– ,– ,– ,7 ,6 ,86% ,129% ,– ,– ,-,7 ,6 ,86% ,– ,– ,-,– ,1 ,,18.0 ,3.0 ,2.0 ,1.5 ,1.0 ,– ,– ,– ,– ,7.0 ,6.0 ,86% ,129% ,– ,– ,-,7.0 ,6.0 ,86% ,– ,– ,-,– ,1.0 
